Name,Price
"Diamond 14.0"" 4Gb/500GB Intel Celeron J1900 Windows10 Diamond Laptop","₦ 119,999"
Lenovo Ideapad 4GBRAM/500 HDD Intel Celeron Dual Core Windows 10 +free Mouse,"₦ 169,500"
Lenovo Ideapad Intel Celeron 4GB Ram 500GB HDD)N 4000 Wins 10+ 32GB FLASH DRIVE,"₦ 169,800"
"Hp 15 Intel Pentium Dualcore (500GB, 8GB RAM), WLAN, Bluetooth® 4.0, Webcam, Windows 10 +Bag","₦ 218,500"
Lenovo Ideapad 8th Gen Intel Core I3 (8GB/1TB) Wins 10+ Free Bag,"₦ 211,800"
Hp Notebook 15-10TH Gen Intel Core™ I5-1035G1 512 GB SSD 8GB RAM WIN 10 TOUCHSCREEN,"₦ 362,000"
Lenovo YOGA C740 Core™️ I5 1.6GHz 256GB SSD 8GB Backlit Micah,"₦ 400,000"
"DELL 13.3"" Latitude 3310 Multi-Touch 2-in-1 Laptop","₦ 440,000"
"Hp 15 AMD Dual Core 500GB HDD, 4GB RAM Windows 10+ FREE 32GB FLASH Drive","₦ 90,000"
Hp Notebook 15 Intel Celeron 500GB / 4GB RAM WIN 10+ BAG,"₦ 98,000"
"Hp Stream 14 Intel Celeron (32gb MMC,4gb RAM)14-Inch Windows10+32 Flash Drive+Bag","₦ 85,000"
Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH,"₦ 130,150"
Hp Intel Pentium Dual Core - 500GB 4 GB RAM Windows 10 Home Black+ Mouse + BAG,"₦ 101,000"
"Hp Notebook 15, Intel 8th Gen Core I5 Processor, 1.6ghz Up To 3.4ghz, 12GB RAM, 2TB HDD Wind10","₦ 210,000"
"Hp 15, Intel Core I3, 1Tb Hdd, 4gb Ram+ 32GB Flash, Mouse, USB Light For Keyboard Webcam, Bluetooth, , Win 10","₦ 135,000"
"Hp Intel Pentium, Quad Core, 500GB HDD, 4GB RAM,TouchScreen,Windows 10","₦ 120,000"
"Hp Pavilion X360 11m-ad113dx - 11.6"" -Intel Pentium N5000 1.1GHZ - 4 GB RAM - 500 GB HDD With Bag+Wireless Mouse","₦ 140,000"
Hp 15 INTEL PENTIUM 500GB HDD 4GB RAM TOUCH DISPLAY WIN 10,"₦ 116,000"
"Hp 15 Intel Core I3 (4GB,1TB HDD +free 32gb Flash Drive) Windows 10 Laptop","₦ 146,000"
"Hp Pavilion X360 14"" Intel Core I5- 8250u,1TB HDD,8GB RAM,Touch,Windows 10+BAG","₦ 245,000"
"Hp 15 Intel Celeron,QUAD CORE,15.6-Inch (4GB RAM,500GB HDD+32GB Flash Drive,Mouse,Fashion Sport Watch,USB Light) Windows 10,Black Colour","₦ 98,000"
Lenovo Ideapad Intel Core I3 (8GB/1TB) Wins 10+ Free Bag,"₦ 215,500"
"Lenovo Ideapad 320 Intel Pentium Quad-Core 4GB RAM / 1TB HDD,15.6'' Windows 10+32GB FLASH","₦ 120,500"
Hp Pavilion 11 X360 Intel® Pentium®+ 32GB Flash+ Mouse+ USB Light For Keyboard 4GB 500GB HDD WIN 10 HOME + Free 32gb Flash Drive,"₦ 133,000"
